㘊,kaap1
㘋,jin4
㘌,kek6
㘍,jik1
㘎,ham3
㘐,chit3
㘐,pau3
㘑,laai6
㘓,lan4
㘔,choi3
㘕,ham3
㘕,lam4
㘖,ngan4
㘙,gau1
㘙,gau2
㘙,hau6
㘙,ngam4
㘚,gam1
㘚,ham3
㘛,haam1
㘛,lim5
㘜,chaau1
㘜,chaau4
㘝,jik1
㘝,nim2
㘝,nip6
㘞,deut1
㘠,baai3
㘠,dai1
㘡,hap6
㘣,jyun4
㘤,wan1
㘥,jaau4
㘦,kaan4
㘧,jeui6
㘨,nip6
㘩,bei6
㘪,hou3
㘪,kaau3
㘫,jing6
㘬,au1
㘭,au1
㘭,au3
㘰,jaam1
㘱,tan1
㘲,guk1
㘳,jaau1
㘴,jo6
㘵,bou3
㘶,git6
㘶,miu5
㘷,ngai6
㘸,jong3
㘹,chi4
㘺,faat6
㘻,jaan1
㘿,nip6
㙀,laau6
㙁,muk6
㙂,deui3
㙃,bong1
㙄,baai6
㙅,bou2
㙇,chuk1
㙈,la4
㙉,din6
㙉,tin2
㙊,cheung4
㙍,do1
㙎,waai1
㙏,fuk1
㙐,deui2
㙐,do2
㙑,jyu5
㙒,je5
㙒,ji2
㙔,hon4
㙕,fai3
㙗,fai3
㙘,jiu1
㙙,lung5
㙚,sing1
㙛,bou2
㙜,chi4
㙜,toi4
㙝,hip3
㙞,jit6
㙞,nip6
㙞,saan1
㙟,long5
㙠,aai3
㙡,jung1
㙢,man6
㙢,mang6
㙣,jeung3
㙤,la3
㙥,gwaan2
㙥,waan6
㙥,wat6
㙨,gei1
㙩,laau6
㙩,liu4
㙩,liu4
㙪,ji3
㙫,jap6
㙬,ngaan4
㙮,taap3
㙯,ngaai6
㙰,hai6
㙱,hou6
㙲,jung1
㙳,ham2
㙴,chim1
㙵,toi4
㙶,tong4
㙷,jik6
㙸,buk6
㙹,mung4
㙺,gwaai6
㙻,chin4
㙼,leui5
㙾,hok6
㚀,hei1
㚁,kiu4
㚂,jeung4
㚃,waan1
㚅,lung4
㚆,fuk6
㚆,fuk6
㚇,jung1
㚉,gu2
㚊,hoi1
㚋,diu1
㚋,niu5
㚋,seui4
㚋,to5
㚌,fo2
㚌,lo2
㚍,fai3
㚏,gou2
㚏,jyu5
㚐,jou6
㚐,tou3
㚒,sim2
㚒,sin2
㚓,loi4
㚓,loi4
㚔,nip6
㚕,faat1
㚖,gou2
㚗,che4
㚗,wu1
㚘,bun6
㚙,ga1
㚜,wik6
㚝,fui1
㚝,teui4
㚝,waai2
㚠,hiu1
㚢,nou4
㚣,gau2
㚣,hau4
㚤,jik6
㚥,jyu1
㚦,gei1
㚧,jim5
㚧,ngam4
㚩,jim5
㚪,hou3
㚫,sap3
㚬,gwaan1
㚭,jaau4
㚮,dam1
㚯,chaam4
㚰,pui1
㚱,jaau1
㚲,sim1
㚳,o1
㚴,bou3
㚵,dung1
㚶,chi5
㚷,nai5
㚸,si1
㚹,mau5
㚺,jaan6
㚻,gei1
㚼,naau2
㚽,hau2
㚿,pau4
㛁,ping1
㛃,git3
㛄,ji1
㛅,nei6
㛆,do2
㛊,do2
㛍,hap6
㛎,leui5
㛏,kaau4
㛐,sou2
㛑,chan3
㛒,daau2
㛒,daau6
㛒,jaau6
㛓,chi1
㛓,dou1
㛓,hei1
㛔,fung1
㛕,jaap1
㛖,jo6
㛖,so1
㛗,so1
㛘,but6
㛙,saan1
㛚,tung2
㛛,jaan3
㛛,saan1
㛜,jaau4
㛝,bui3
㛞,lung6
㛥,dap6
㛦,laam5
㛧,mun5
㛨,geung2
㛩,juk6
㛪,aam1
㛪,gim1
㛪,him1
㛪,jim1
㛫,sek3
㛬,luk6
㛭,sik1
㛭,sim3
㛮,sou2
㛯,min5
㛰,faan1
㛱,wui2
㛲,fat3
㛳,jaai6
㛳,jaam3
㛴,jyun5
㛴,nou5
㛵,ching1
㛶,tan3
㛷,gaai1
㛸,syu6
㛹,pin4
㛺,aam1
㛻,kwaai2
㛼,chap3
㛼,choi3
㛽,san1
㛾,ham4
㛿,jaai6
㛿,jat3
㜂,fung1
㜃,lyun2
㜃,lyut6
㜄,chaam4
㜄,chaan2
㜄,jaan2
㜄,saan6
㜅,chuk1
㜆,maai4
㜇,waai6
㜈,muk6
㜉,jung1
㜉,jung2
㜊,jin2
㜊,nan5
㜋,ji4
㜋,jik1
㜌,gaau3
㜍,tong4
㜎,haai4
㜎,haai6
㜏,waan4
㜐,syu6
㜑,pak3
㜑,po4
㜒,ji5
㜒,ngaai6
㜓,dap3
㜕,lin4
㜖,chou4
㜗,cham2
㜘,geui6
㜙,luk6
㜚,suk1
㜛,jyun5
㜜,ngou6
㜝,an2
㜞,cham4
㜞,chim3
㜠,cheui1
㜠,chyun2
㜡,sung1
㜣,jin4
㜤,saam2
㜥,mai4
㜦,chaam4
㜧,kyut3
